                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.91523,                0.68965,                0.89344,                0.65798,                0.77581,                0.76307,                0.55728,                0.97652,                0.91302,                0.93442,               0.002872,               0.002872,               0.002872
                     75,                0.91637,                0.68385,                0.89747,                  0.651,                0.77914,                 0.7615,                 0.5583,                0.98078,                0.90666,                0.93784,               0.002773,               0.002773,               0.002773
                     76,                0.92014,                0.68462,                 0.8981,                0.64346,                0.79738,                0.76586,                0.56244,                0.96617,                0.93043,                0.93426,               0.002674,               0.002674,               0.002674
                     77,                 0.9076,                0.66758,                0.89257,                0.65741,                0.75837,                0.75009,                0.54642,                 1.0042,                0.97078,                0.94525,               0.002575,               0.002575,               0.002575
                     78,                0.90744,                0.67528,                0.89234,                0.65652,                0.76423,                0.76217,                0.55923,                0.97692,                0.92594,                0.93401,               0.002476,               0.002476,               0.002476
                     79,                0.91537,                0.67866,                0.89267,                 0.6657,                0.75497,                0.76407,                0.56253,                0.96308,                0.89783,                0.93105,               0.002377,               0.002377,               0.002377
                     80,                0.90929,                 0.6644,                0.89634,                0.67165,                 0.7587,                0.76219,                0.56124,                0.96659,                0.93308,                0.93361,               0.002278,               0.002278,               0.002278
                     81,                0.91532,                0.66608,                0.88877,                0.66978,                0.75927,                0.75475,                0.55708,                0.95964,                0.92671,                0.93238,               0.002179,               0.002179,               0.002179
                     82,                0.90948,                0.66604,                0.89433,                0.68309,                  0.734,                0.76208,                0.55942,                0.97578,                0.92485,                0.93533,                0.00208,                0.00208,                0.00208
                     83,                  0.915,                 0.6714,                0.88896,                0.66767,                0.76932,                0.76504,                0.56218,                0.97525,                0.90581,                0.93366,               0.001981,               0.001981,               0.001981
                     84,                0.90635,                0.66016,                0.89031,                0.68076,                0.75233,                0.76813,                0.56336,                0.96517,                0.91596,                0.93482,               0.001882,               0.001882,               0.001882
                     85,                0.90406,                0.65736,                 0.8906,                0.65376,                0.78027,                0.75525,                0.55457,                0.96922,                0.93903,                0.93733,               0.001783,               0.001783,               0.001783
                     86,                0.90256,                0.65095,                0.89338,                 0.6588,                0.76453,                0.76272,                0.56077,                 0.9878,                0.92159,                0.93872,               0.001684,               0.001684,               0.001684
                     87,                0.90167,                0.65219,                0.89284,                0.66377,                 0.7527,                0.76318,                 0.5609,                0.97887,                0.92541,                0.93615,               0.001585,               0.001585,               0.001585
                     88,                0.90059,                0.64723,                0.89038,                0.65324,                0.78552,                0.76372,                0.56304,                0.97349,                0.92376,                0.93304,               0.001486,               0.001486,               0.001486
