                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.97329,                0.84318,                 0.8836,                0.64165,                0.81697,                0.78002,                0.56782,                0.99162,                0.88071,                0.89992,                0.00208,                0.00208,                0.00208
                     83,                0.97967,                0.84334,                0.87802,                0.66599,                 0.7955,                0.78615,                0.57212,                0.97162,                 0.8619,                0.89501,               0.001981,               0.001981,               0.001981
                     84,                0.97258,                0.83394,                0.87958,                0.66711,                0.77167,                0.78531,                0.57375,                0.97839,                0.86421,                0.89613,               0.001882,               0.001882,               0.001882
                     85,                0.97044,                0.83825,                0.88068,                0.65892,                0.76525,                0.78383,                0.57017,                0.98834,                0.88348,                0.89673,               0.001783,               0.001783,               0.001783
                     86,                0.96822,                0.82658,                0.88247,                0.66181,                0.78171,                0.78677,                0.57174,                0.98227,                0.87918,                0.89743,               0.001684,               0.001684,               0.001684
                     87,                 0.9692,                0.82882,                0.88153,                0.66993,                0.77588,                0.78377,                0.57051,                0.97022,                0.86532,                0.89371,               0.001585,               0.001585,               0.001585
                     88,                0.96647,                0.82605,                0.88022,                 0.6895,                0.76526,                0.78803,                 0.5751,                0.96888,                 0.8538,                0.89319,               0.001486,               0.001486,               0.001486
                     89,                0.95953,                0.81875,                0.88046,                0.67204,                0.78366,                0.78441,                  0.574,                 0.9746,                0.86227,                0.89493,               0.001387,               0.001387,               0.001387
                     90,                0.96233,                0.81542,                0.87944,                0.66787,                0.77243,                0.77454,                0.56608,                0.98127,                0.87306,                0.89405,               0.001288,               0.001288,               0.001288
                     91,                0.96835,                0.84412,                0.88458,                0.66101,                0.77601,                0.76386,                  0.558,                0.97515,                0.88405,                0.89614,               0.001189,               0.001189,               0.001189
                     92,                0.96484,                0.81299,                0.88527,                0.65547,                0.75365,                0.76717,                 0.5585,                 0.9819,                0.90961,                0.89493,                0.00109,                0.00109,                0.00109
                     93,                0.96731,                0.80736,                0.88647,                0.67315,                0.77336,                0.78144,                0.57044,                0.97205,                0.86386,                 0.8918,               0.000991,               0.000991,               0.000991
                     94,                0.96521,                0.80179,                0.88703,                0.65868,                0.79491,                 0.7845,                0.57446,                0.97196,                0.88477,                0.89467,               0.000892,               0.000892,               0.000892
                     95,                0.96098,                0.80391,                0.88311,                0.66414,                0.78501,                0.78658,                0.57329,                0.98102,                0.86842,                0.89756,               0.000793,               0.000793,               0.000793
                     96,                0.95119,                0.79285,                0.88097,                0.66701,                0.77446,                0.78268,                0.57073,                0.97135,                0.86916,                0.89216,               0.000694,               0.000694,               0.000694
                     97,                0.95621,                0.79578,                0.88628,                0.67323,                0.78374,                0.78672,                0.57509,                0.96781,                0.86612,                0.89222,               0.000595,               0.000595,               0.000595
                     98,                0.95958,                 0.7897,                0.88389,                0.67708,                0.77825,                0.79092,                0.57865,                0.96841,                0.85962,                0.89368,               0.000496,               0.000496,               0.000496
                     99,                0.95632,                0.78457,                0.88178,                0.67753,                0.77048,                0.78985,                0.57756,                0.97058,                0.86098,                 0.8928,               0.000397,               0.000397,               0.000397
                    100,                0.95274,                0.78197,                0.87974,                0.70721,                0.74173,                0.79248,                0.58073,                0.97105,                0.85612,                0.89329,               0.000298,               0.000298,               0.000298
